,UPI Banks,Volume of Costumers(in Millions),Value of Transactions,Volume in Million,Value (Cr),Month,Year
253,Janata Sahakari Bank Apps,0.01,4.15,0.01,4.15,7,2022
262,Jio Payments Bank Apps,1.9,116.59,1.9,116.59,7,2022
267,Jupiter,2.1,254.14,2.1,254.14,7,2022
354,Punjab Sind Bank Apps,0.01,4.03,0.01,4.03,7,2022
279,Karnataka Bank Apps,0.35,48.01,0.35,48.01,7,2022
286,Karur Vysya Bank Apps,0.04,15.66,0.04,15.66,7,2022
349,Punjab National Bank Apps,0.07,35.7,0.07,35.7,7,2022
293,Kotak Mahindra Bank Apps,8.86,1815.87,8.86,1816.33,7,2022
300,MakeMyTrip,0.13,58.19,0.13,58.19,7,2022
307,MI Pay,0.16,26.98,0.16,26.98,7,2022
342,PhonePe,2993.83,524742.49,2993.83,524742.49,7,2022
314,Mobikwik,2.48,462.17,2.48,462.17,7,2022
321,NSDL Payments Bank Apps,0.02,3.5,0.02,3.5,7,2022
328,Others,0.02,5.15,0.02,5.15,7,2022
233,Indian Bank Apps,0.2,58.15,0.21,71.39,7,2022
226,India Post Payments Bank Apps,4.08,480.59,4.08,480.59,7,2022
370,Samsung Pay,4.05,472.39,4.05,472.39,7,2022
219,IDFC Bank Apps,8.28,645.34,8.28,645.34,7,2022
403,TJSB Bank Apps,0.01,2.26,0.01,2.26,7,2022
137,Dhanlaxmi Bank Apps,0.01,2.86,0.01,2.86,7,2022
401,TataNeu,0.11,17.26,0.11,17.26,7,2022
139,Equitas Small Finance Bank Apps,0.01,4.89,0.01,4.89,7,2022
397,Tamilnad Mercantile Bank Apps,0.05,6.78,0.05,6.78,7,2022
144,Fave,0.16,11.06,0.16,11.06,7,2022
151,Federal Bank Apps,3.85,539.55,3.85,539.55,7,2022
158,Fino Payments Bank Apps,0.06,4.26,0.06,4.26,7,2022
120,DBS Digibank Apps,0.47,179.27,0.47,179.27,7,2022
391,State Bank of India Apps,4.15,2013.47,4.15,2013.47,7,2022
179,Google Pay,2130.63,366669.09,2130.63,366669.09,7,2022
384,Standard Chartered Bank Apps,0.14,74.11,0.14,74.11,7,2022
184,Groww,0.49,290.31,0.49,290.31,7,2022
191,HDFC Bank Apps,9.38,2341.28,9.38,2341.28,7,2022
198,HSBC Bank Apps,0.11,68.43,0.11,68.47,7,2022
377,South Indian Bank Apps,0.15,46.97,0.15,46.97,7,2022
205,ICICI Bank Apps,32.53,7745.19,37.34,11509.29,7,2022
212,IDBI Bank Apps,0.03,16.42,0.03,16.42,7,2022
172,GoIbibo,0.01,5.1,0.01,5.1,7,2022
451,YuvaPay,0.01,21.38,0.01,21.38,7,2022
